id,first_name,name,nationality,club_name,position1,position2,position3,tm_url,national_team
1647,Thomas,Delaney,dk,Borussia Dortmund,M,C,,https://www.transfermarkt.com/thomas-delaney/profil/spieler/91849,TRUE
1809,Robert,Skov,dk,Hoffenheim,W,,,https://www.transfermarkt.com/robert-skov/profil/spieler/270393,TRUE
1891,Yussuf,Poulsen,dk,RB Leipzig,Pc,,,https://www.transfermarkt.com/yussuf-poulsen/profil/spieler/157635,TRUE
1899,Frederik,Ronnow,dk,Schalke 04,Por,,,https://www.transfermarkt.com/frederik-ronnow/profil/spieler/107775,TRUE
,Daniel,Wass,dk,Valencia,Dd,E,,https://www.transfermarkt.com/daniel-wass/profil/spieler/63463,TRUE
,Nicolai,Boilesen,dk,Copenhagen,Dc,Ds,,https://www.transfermarkt.com/nicolai-boilesen/profil/spieler/69642,TRUE
,Mathias,Zanka,dk,Copenhagen,Dc,,,https://www.transfermarkt.com/zanka/profil/spieler/52059,TRUE
,Mathias,Jensen,dk,Brentford,C,,,https://www.transfermarkt.com/mathias-jensen/profil/spieler/319859,TRUE
,Christian,Norgaard,dk,Brentford,M,C,,https://www.transfermarkt.com/christian-norgaard/profil/spieler/148367,TRUE
,Anders,Christiansen,dk,Malmo,C,T,,https://www.transfermarkt.com/anders-christiansen/profil/spieler/77259,TRUE
,Martin,Braithwaite,dk,Barcelona,Pc,,,https://www.transfermarkt.com/martin-braithwaite/profil/spieler/95732,TRUE
,Jonas,Wind,dk,Copenhagen,Pc,,,https://www.transfermarkt.com/jonas-wind/profil/spieler/391004,TRUE
,Kasper,Dolberg,dk,OGC Nice,Pc,,,https://www.transfermarkt.com/kasper-dolberg/profil/spieler/283196,TRUE
1572,Lukas,Hradecky,fi,Bayer Leverkusen,Por,,,https://www.transfermarkt.com/lukas-hradecky/profil/spieler/48015,TRUE
314,Jesse,Joronen,fi,Brescia,Por,,,https://www.transfermarkt.com/jesse-joronen/profil/spieler/131758,TRUE
866,Teemu,Pukki,fi,Norwich,Pc,,,https://www.transfermarkt.com/teemu-pukki/profil/spieler/46972,TRUE
1975,Joel,Pohjanpalo,fi,Union Berlin,Pc,,,https://www.transfermarkt.com/joel-pohjanpalo/profil/spieler/173491,TRUE
1560,Fredrik,Jensen,fi,Augsburg,T,W,,https://www.transfermarkt.com/fredrik-jensen/profil/spieler/249157,TRUE
,Anssi,Jaakkola,fi,Bristol Rovers,Por,,,https://www.transfermarkt.com/anssi-jaakkola/profil/spieler/18223,TRUE
,Paulus,Arajuuri,fi,Pafos,Dc,,,https://www.transfermarkt.com/paulus-arajuuri/profil/spieler/47772,TRUE
,Jere,Uronen,fi,KRC Genk,Ds,E,,https://www.transfermarkt.com/jere-uronen/profil/spieler/131827,TRUE
,Sauli,Vaisanen,fi,Chievo,Dc,,,https://www.transfermarkt.com/sauli-vaisanen/profil/spieler/261095,TRUE
,Leo,Vaisanen,fi,Elfsborg,Dc,,,https://www.transfermarkt.com/leo-vaisanen/profil/spieler/309439,TRUE
,Robert,Ivanov,fi,Warta Poznan,Dc,,,https://www.transfermarkt.com/robert-ivanov/profil/spieler/373876,TRUE
,Daniel,O'Shaughnessy,fi,HJK Helsinki,Dc,Ds,,https://www.transfermarkt.com/daniel-oshaughnessy/profil/spieler/131967,TRUE
,Nikolai,Alho,fi,MTK Budapest,E,W,,https://www.transfermarkt.com/nikolai-alho/profil/spieler/131745,TRUE
,Joni,Kauko,fi,Esbjerg fB,C,,,https://www.transfermarkt.com/joni-kauko/profil/spieler/73662,TRUE
,Tim,Sparv,fi,AEL,M,,,https://www.transfermarkt.com/tim-sparv/profil/spieler/13258,TRUE
,Glen,Kamara,fi,Rangers,M,C,,https://www.transfermarkt.com/glen-kamara/profil/spieler/242632,TRUE
,Pyry,Soiri,fi,Esbjerg fB,W,,,https://www.transfermarkt.com/pyry-soiri/profil/spieler/224458,TRUE
,Rasmus,Schuller,fi,Djurgarden,M,C,,https://www.transfermarkt.com/rasmus-schuller/profil/spieler/72266,TRUE
,Thomas,Lam,fi,Zwolle,Dc,M,,https://www.transfermarkt.com/thomas-lam/profil/spieler/131821,TRUE
,Onni,Valakari,fi,Pafos,T,,,https://www.transfermarkt.com/onni-valakari/profil/spieler/407663,TRUE
,Marcus,Forss,fi,Brentford,Pc,,,https://www.transfermarkt.com/marcus-forss/profil/spieler/404584,TRUE
,Lassi ,Lappalainen,fi,Montreal,W,,,https://www.transfermarkt.com/lassi-lappalainen/profil/spieler/322993,TRUE
,Robert,Taylor,fi,Brann,T,W,,https://www.transfermarkt.com/robert-taylor/profil/spieler/251836,TRUE
,Robin,Lod,fi,Minnesota,W,A,,https://www.transfermarkt.com/robin-lod/profil/spieler/173573,TRUE
,Joona,Toivio,fi,Hacken,Dc,,,https://www.transfermarkt.com/joona-toivio/profil/spieler/37339,TRUE
,Jukka,Raitala,fi,Minnesota,Dc,Ds,,https://www.transfermarkt.com/jukka-raitala/profil/spieler/47785,TRUE
1327,Aleksey,Miranchuk,ru,Atalanta,T,A,,https://www.transfermarkt.com/aleksey-miranchuk/profil/spieler/255450,TRUE
,Yuri,Dyupin,ru,Rubin,Por,,,https://www.transfermarkt.com/yuri-dyupin/profil/spieler/228660,TRUE
,Matvey,Safonov,ru,Krasnodar,Por,,,https://www.transfermarkt.com/matvey-safonov/profil/spieler/318470,TRUE
,Anton,Shunin,ru,Dinamo Moskva,Por,,,https://www.transfermarkt.com/anton-shunin/profil/spieler/37549,TRUE
,Georgiy,Dzhikiya,ru,Spartak Moskva,Dc,,,https://www.transfermarkt.com/georgiy-dzhikiya/profil/spieler/185024,TRUE
,Igor,Diveev,ru,CSKA Moskva,Dc,,,https://www.transfermarkt.com/igor-diveev/profil/spieler/532732,TRUE
,Yuri,Zhirkov,ru,Zenit,Ds,E,,https://www.transfermarkt.com/yuri-zhirkov/profil/spieler/16760,TRUE
,Vyacheslav,Karavaev,ru,Zenit,Dd,E,,https://www.transfermarkt.com/vyacheslav-karavaev/profil/spieler/170620,TRUE
,Fedor,Kudryashov,ru,Antalyaspor,Dc,Ds,,https://www.transfermarkt.com/fedor-kudryashov/profil/spieler/48634,TRUE
,Andrey,Semenov,ru,Akhmat,Dc,,,https://www.transfermarkt.com/andrey-semenov/profil/spieler/105478,TRUE
,Mario,Fernandes,ru,CSKA Moskva,Dd,E,,https://www.transfermarkt.com/mario-fernandes/profil/spieler/102740,TRUE
,Dmitri,Barinov,ru,Lokomotiv Moskva,M,C,,https://www.transfermarkt.com/dmitri-barinov/profil/spieler/263905,TRUE
,Rifat,Zhemaletdinov,ru,Lokomotiv Moskva,T,W,,https://www.transfermarkt.com/rifat-zhemaletdinov/profil/spieler/267383,TRUE
,Maksim,Mukhin,ru,CSKA Moskva,M,,,https://www.transfermarkt.com/maksim-mukhin/profil/spieler/623274,TRUE
,Aleksandr,Golovin,ru,Monaco,C,T,,https://www.transfermarkt.com/aleksandr-golovin/profil/spieler/263918,TRUE
,Daniil,Fomin,ru,Dinamo Moskva,M,C,,https://www.transfermarkt.com/daniil-fomin/profil/spieler/400713,TRUE
,Roman,Zobnin,ru,Spartak Moskva,E,C,,https://www.transfermarkt.com/roman-zobnin/profil/spieler/166277,TRUE
,Aleksey,Ionov,ru,Krasnodar,W,A,,https://www.transfermarkt.com/aleksey-ionov/profil/spieler/55356,TRUE
,Daler,Kuzyaev,ru,Zenit,C,,,https://www.transfermarkt.com/daler-kuzyaev/profil/spieler/279570,TRUE
,Andrey,Mostovoy,ru,Zenit,W,A,,https://www.transfermarkt.com/andrey-mostovoy/profil/spieler/362570,TRUE
,Magomed,Ozdoev,ru,Zenit,C,,,https://www.transfermarkt.com/magomed-ozdoev/profil/spieler/137206,TRUE
,Denis,Makarov,ru,Rubin,W,,,https://www.transfermarkt.com/denis-makarov/profil/spieler/599203,TRUE
,Denis,Cheryshev,ru,Valencia,W,A,,https://www.transfermarkt.com/denis-cheryshev/profil/spieler/98322,TRUE
,Artem,Dzyuba,ru,Zenit,Pc,,,https://www.transfermarkt.com/artem-dzyuba/profil/spieler/48067,TRUE
,Anton,Zabolotny,ru,CSKA Moskva,Pc,,,https://www.transfermarkt.com/anton-zabolotnyi/profil/spieler/70114,TRUE
,Aleksandr,Sobolev,ru,Spartak Moskva,Pc,,,https://www.transfermarkt.com/aleksandr-sobolev/profil/spieler/464259,TRUE
961,Daniel,Bachmann,at,Watford,Por,,,https://www.transfermarkt.com/daniel-bachmann/profil/spieler/120186,TRUE
2012,Pavao,Pervan,at,Wolfsburg,Por,,,https://www.transfermarkt.com/pavao-pervan/profil/spieler/51977,TRUE
1578,Aleksandar,Dragovic,at,Bayer Leverkusen,Dc,,,https://www.transfermarkt.com/aleksandar-dragovic/profil/spieler/59032,TRUE
1701,Martin,Hinteregger,at,Eintracht,Dc,,,https://www.transfermarkt.com/martin-hinteregger/profil/spieler/85789,TRUE
1728,Philipp,Lienhart,at,Freiburg,Dc,,,https://www.transfermarkt.com/philipp-lienhart/profil/spieler/225657,TRUE
1993,Marco,Friedl,at,Werder Bremen,Dc,Ds,,https://www.transfermarkt.com/marco-friedl/profil/spieler/156990,TRUE
1793,Stefan,Posch,at,Hoffenheim,Dc,Dd,,https://www.transfermarkt.com/stefan-posch/profil/spieler/223974,TRUE
1674,Stefan,Lainer,at,Borussia Mbach,Dd,E,,https://www.transfermarkt.com/stefan-lainer/profil/spieler/85791,TRUE
